HGNC ID	Approved symbol	Approved name	RefSeq IDs	Gene group ID
HGNC:749	ASMD	symbol withdrawn, see [HGNC:9006](/data/gene-symbol-report/#!/hgnc_id/HGNC:9006)		
HGNC:53135	ASMER1	adipocyte associated metabolic related lncRNA 1		1992|1986
HGNC:750	ASMT	acetylserotonin O-methyltransferase	NM_004043	715|2063
HGNC:751	ASMTL	acetylserotonin O-methyltransferase like	NM_004192	2063|715
HGNC:25811	ASMTL-AS1	ASMTL antisense RNA 1	XR_040863	1987|715
HGNC:753	ASNS	asparagine synthetase (glutamine-hydrolyzing)	NM_001673, NM_183356	
HGNC:24910	ASNSD1	asparagine synthetase domain containing 1	NM_019048	
HGNC:754	ASNSP1	ASNS pseudogene 1		
HGNC:755	ASNSP2	ASNS pseudogene 2		
HGNC:39399	ASNSP3	ASNS pseudogene 3	NG_021205	
HGNC:39400	ASNSP4	ASNS pseudogene 4	NG_026098	
HGNC:39401	ASNSP5	ASNS pseudogene 5		
HGNC:49876	ASNSP6	ASNS pseudogene 6		
HGNC:756	ASPA	aspartoacylase	NM_000049	
HGNC:33856	ASPDH	aspartate dehydrogenase domain containing	NM_001024656	
HGNC:20123	ASPG	asparaginase	NM_001080464	403
HGNC:757	ASPH	aspartate beta-hydroxylase	NM_004318	
HGNC:27380	ASPHD1	aspartate beta-hydroxylase domain containing 1	NM_181718	
HGNC:30437	ASPHD2	aspartate beta-hydroxylase domain containing 2	NM_020437	
HGNC:19048	ASPM	assembly factor for spindle microtubules	NM_018136	
HGNC:14872	ASPN	asporin	NM_017680	573
HGNC:26321	ASPRV1	aspartic peptidase retroviral like 1	NM_152792	1411|2098
HGNC:13825	ASPSCR1	ASPSCR1 tether for SLC2A4, UBX domain containing	NM_024083	364
HGNC:16448	ASRGL1	asparaginase and isoaspartyl peptidase 1	NM_001083926	
HGNC:758	ASS1	argininosuccinate synthase 1	NM_000050	
HGNC:759	ASS1P1	argininosuccinate synthetase 1 pseudogene 1	NG_001077	
HGNC:765	ASS1P2	argininosuccinate synthetase 1 pseudogene 2	NG_000845	
HGNC:766	ASS1P3	argininosuccinate synthetase 1 pseudogene 3	NG_012998	
HGNC:767	ASS1P4	argininosuccinate synthetase 1 pseudogene 4	NG_000846	
HGNC:768	ASS1P5	argininosuccinate synthetase 1 pseudogene 5	NG_000847	
HGNC:769	ASS1P6	argininosuccinate synthetase 1 pseudogene 6	NG_000848	
HGNC:770	ASS1P7	argininosuccinate synthetase 1 pseudogene 7	NG_001079	
HGNC:771	ASS1P8	argininosuccinate synthetase 1 pseudogene 8	NG_003009	
HGNC:772	ASS1P9	argininosuccinate synthetase 1 pseudogene 9	NG_003022	
HGNC:760	ASS1P10	argininosuccinate synthetase 1 pseudogene 10	NG_003021	
HGNC:761	ASS1P11	argininosuccinate synthetase 1 pseudogene 11	NG_008639	
HGNC:762	ASS1P12	argininosuccinate synthetase 1 pseudogene 12	NG_005207	
HGNC:763	ASS1P13	argininosuccinate synthetase 1 pseudogene 13	NG_011669	
HGNC:764	ASS1P14	argininosuccinate synthetase 1 pseudogene 14		
HGNC:25021	ASTE1	asteroid homolog 1	NM_014065	
HGNC:31704	ASTL	astacin like metalloendopeptidase		894
HGNC:773	ASTN1	astrotactin 1	NM_004319	555|1691
HGNC:17021	ASTN2	astrotactin 2	NM_014010	1835|555
HGNC:51175	ASTN2-AS1	ASTN2 antisense RNA 1	NR_033973	1987
HGNC:774	ASVS1	adenovirus/SV40 integration site 1		
HGNC:18318	ASXL1	ASXL transcriptional regulator 1	NM_015338	
HGNC:23805	ASXL2	ASXL transcriptional regulator 2	NM_018263	
HGNC:29357	ASXL3	ASXL transcriptional regulator 3		
HGNC:55290	ASXL3-DT	ASXL3 divergent transcript		1990
HGNC:1350	ASZ1	ankyrin repeat, SAM and basic leucine zipper domain containing 1	NM_130768	760|403
HGNC:14223	AT3	symbol withdrawn, see [HGNC:775](/data/gene-symbol-report/#!/hgnc_id/HGNC:775)		
HGNC:776	ATA	symbol withdrawn, see [HGNC:795](/data/gene-symbol-report/#!/hgnc_id/HGNC:795)		
HGNC:25903	ATAD1	ATPase family AAA domain containing 1	NM_032810	413
HGNC:30123	ATAD2	ATPase family AAA domain containing 2	NM_014109	1232|413|1691
HGNC:29230	ATAD2B	ATPase family AAA domain containing 2B	NM_017552	1232|413
HGNC:25567	ATAD3A	ATPase family AAA domain containing 3A	NM_018188	413
HGNC:24007	ATAD3B	ATPase family AAA domain containing 3B	NM_031921	413
HGNC:32151	ATAD3C	ATPase family AAA domain containing 3C	NM_001039211	413
HGNC:25752	ATAD5	ATPase family AAA domain containing 5	NM_024857	413
HGNC:21186	ATAT1	alpha tubulin acetyltransferase 1	NM_024909	486
HGNC:778	ATC	symbol withdrawn, see [HGNC:795](/data/gene-symbol-report/#!/hgnc_id/HGNC:795)		
HGNC:779	ATCAY	ATCAY kinesin light chain interacting caytaxin		1299
HGNC:780	ATD	asphixiating thoracic dystrophy (chondroectodermal dysplasia-like syndrome)		
HGNC:781	ATDC	symbol withdrawn, see [HGNC:795](/data/gene-symbol-report/#!/hgnc_id/HGNC:795)		
HGNC:782	ATE1	arginyltransferase 1	NM_001001976	
HGNC:49496	ATE1OSP	ATE1 opposite strand, pseudogene	NR_120495	1987
HGNC:783	ATF1	activating transcription factor 1	NM_005171	506
HGNC:37691	ATF1P1	activating transcription factor 1 pseudogene 1	NG_016455	
HGNC:784	ATF2	activating transcription factor 2	NM_001880	506|1691
HGNC:785	ATF3	activating transcription factor 3	NM_001674	506
HGNC:786	ATF4	activating transcription factor 4	NM_001675	506
HGNC:789	ATF4P1	activating transcription factor 4 pseudogene 1	NG_001080	
HGNC:34025	ATF4P2	activating transcription factor 4 pseudogene 2	NG_002951	
HGNC:788	ATF4P3	activating transcription factor 4 pseudogene 3	NG_009319	
HGNC:787	ATF4P4	activating transcription factor 4 pseudogene 4	NG_021835	
HGNC:790	ATF5	activating transcription factor 5		506|1691
HGNC:791	ATF6	activating transcription factor 6	NM_007348	506
HGNC:55826	ATF6-DT	ATF6 divergent transcript		1990
HGNC:2349	ATF6B	activating transcription factor 6 beta		506
HGNC:792	ATF7	activating transcription factor 7	NM_001130059	506
HGNC:55073	ATF7-NPFF	ATF7-NPFF readthrough		
HGNC:20092	ATF7IP	activating transcription factor 7 interacting protein	NM_018179	555
HGNC:20397	ATF7IP2	activating transcription factor 7 interacting protein 2	NM_024997	555
HGNC:29028	ATG2A	autophagy related 2A	NM_015104	1691|2141|1022
HGNC:20187	ATG2B	autophagy related 2B	NM_018036	2141|1022
HGNC:20962	ATG3	autophagy related 3	NM_022488	1022
HGNC:31123	ATG3P1	autophagy related 3 pseudogene 1		
HGNC:16489	ATG4A	autophagy related 4A cysteine peptidase	NM_052936	1022
HGNC:44081	ATG4AP1	autophagy related 4A cysteine peptidase pseudogene 1		
HGNC:20790	ATG4B	autophagy related 4B cysteine peptidase	NM_013325	1022
HGNC:16040	ATG4C	autophagy related 4C cysteine peptidase	NM_032852	1022
HGNC:20789	ATG4D	autophagy related 4D cysteine peptidase	NM_032885	1691|1022
HGNC:589	ATG5	autophagy related 5	NM_004849	1022
HGNC:16935	ATG7	autophagy related 7	NM_006395	100|1022
HGNC:22408	ATG9A	autophagy related 9A	NM_024085	1022
HGNC:21899	ATG9B	autophagy related 9B	NM_173681	1022
HGNC:20315	ATG10	autophagy related 10	NM_001131028	1022
HGNC:40914	ATG10-AS1	ATG10 antisense RNA 1		1987
HGNC:41455	ATG10-IT1	ATG10 intronic transcript 1		1989
HGNC:588	ATG12	autophagy related 12	NM_004707	1022
HGNC:21466	ATG12P1	autophagy related 12 pseudogene 1	NG_007656	
HGNC:38605	ATG12P2	autophagy related 12 pseudogene 2	NG_016651	
HGNC:29091	ATG13	autophagy related 13	NM_014741	1022
HGNC:19962	ATG14	autophagy related 14	NM_014924	1022|1596
HGNC:21498	ATG16L1	autophagy related 16 like 1	NM_017974	1022|362
HGNC:25464	ATG16L2	autophagy related 16 like 2	NM_033388	1022|362
HGNC:25679	ATG101	autophagy related 101	NM_021934	1022
HGNC:793	ATHS	atherosclerosis susceptibility (lipoprotein associated)		
HGNC:794	ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	NM_004044	1569
HGNC:11231	ATL1	atlastin GTPase 1		1887
HGNC:24047	ATL2	atlastin GTPase 2	NM_022374	1887
HGNC:24526	ATL3	atlastin GTPase 3	NM_015459	1887
HGNC:795	ATM	ATM serine/threonine kinase	NM_000051	1492
HGNC:29034	ATMIN	ATM interactor	NM_015251	28
HGNC:3033	ATN1	atrophin 1	NM_001940	2003
HGNC:796	ATN1L	symbol withdrawn, see [HGNC:9965](/data/gene-symbol-report/#!/hgnc_id/HGNC:9965)		
HGNC:797	ATOH1	atonal bHLH transcription factor 1	NM_005172	420
HGNC:13907	ATOH7	atonal bHLH transcription factor 7		420
HGNC:24126	ATOH8	atonal bHLH transcription factor 8	NM_032827	420
HGNC:25609	ATOSA	atos homolog A	NM_019600	
HGNC:25666	ATOSB	atos homolog B	NM_025182	
HGNC:54597	ATOSBP1	ATOSB pseudogene 1		
HGNC:798	ATOX1	antioxidant 1 copper chaperone	NM_004045	
HGNC:55528	ATOX1-AS1	ATOX1 antisense RNA 1		1987
HGNC:799	ATP1A1	ATPase Na+/K+ transporting subunit alpha 1	NM_001160233	1208
HGNC:28262	ATP1A1-AS1	ATP1A1 antisense RNA 1	NR_024124	1987
HGNC:800	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2	NM_000702	1208
HGNC:801	ATP1A3	ATPase Na+/K+ transporting subunit alpha 3	NM_152296	1208
HGNC:14073	ATP1A4	ATPase Na+/K+ transporting subunit alpha 4	NM_144699	1208
HGNC:802	ATP1AL1	symbol withdrawn, see [HGNC:13816](/data/gene-symbol-report/#!/hgnc_id/HGNC:13816)		
HGNC:803	ATP1AL2	symbol withdrawn, see [HGNC:14073](/data/gene-symbol-report/#!/hgnc_id/HGNC:14073)		
HGNC:804	ATP1B1	ATPase Na+/K+ transporting subunit beta 1		1208
HGNC:809	ATP1B1P1	ATPase Na+/K+ transporting subunit beta 1 pseudogene 1	NG_001081	
HGNC:805	ATP1B2	ATPase Na+/K+ transporting subunit beta 2	NM_001678	1208
HGNC:806	ATP1B3	ATPase Na+/K+ transporting subunit beta 3	NM_001679	1208|471
HGNC:40088	ATP1B3-AS1	ATP1B3 antisense RNA 1		1987
HGNC:807	ATP1B3P1	ATPase Na+/K+ transporting subunit beta 3 pseudogene 1	NG_000849	
HGNC:808	ATP1B4	ATPase Na+/K+ transporting family member beta 4	NM_001142447	
HGNC:810	ATP1G1	symbol withdrawn, see [HGNC:4026](/data/gene-symbol-report/#!/hgnc_id/HGNC:4026)		
HGNC:811	ATP2A1	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1	NM_004320	1209
HGNC:51370	ATP2A1-AS1	ATP2A1 antisense RNA 1	NR_046287	1987
HGNC:812	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2	NM_001681	1209
HGNC:813	ATP2A3	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3	NM_174953	1209
HGNC:814	ATP2B1	ATPase plasma membrane Ca2+ transporting 1	NM_001682	1209
HGNC:27883	ATP2B1-AS1	ATP2B1 antisense RNA 1	NR_028138	1987
HGNC:815	ATP2B2	ATPase plasma membrane Ca2+ transporting 2	NM_001683	1209|1691
HGNC:41309	ATP2B2-IT1	ATP2B2 intronic transcript 1		1989
HGNC:41310	ATP2B2-IT2	ATP2B2 intronic transcript 2		1989
HGNC:816	ATP2B3	ATPase plasma membrane Ca2+ transporting 3	NM_021949	1491|1209
HGNC:817	ATP2B4	ATPase plasma membrane Ca2+ transporting 4	NM_001001396	1209|1835
HGNC:13211	ATP2C1	ATPase secretory pathway Ca2+ transporting 1	NM_001001486	1209
HGNC:29103	ATP2C2	ATPase secretory pathway Ca2+ transporting 2	NM_014861	1209
HGNC:53167	ATP2C2-AS1	ATP2C2 antisense RNA 1	NR_146503	1987
HGNC:818	ATP3	ATPase, Mg++ transporting		
HGNC:819	ATP4A	ATPase H+/K+ transporting subunit alpha	NM_000704	1211
HGNC:820	ATP4B	ATPase H+/K+ transporting subunit beta	NM_000705	1211
HGNC:821	ATP5	symbol withdrawn, see [HGNC:847](/data/gene-symbol-report/#!/hgnc_id/HGNC:847)		
HGNC:822	ATP5A	symbol withdrawn, see [HGNC:847](/data/gene-symbol-report/#!/hgnc_id/HGNC:847)		
HGNC:825	ATP5A1P5	symbol withdrawn, see [HGNC:827](/data/gene-symbol-report/#!/hgnc_id/HGNC:827)		
HGNC:37664	ATP5A1P6	symbol withdrawn, see [HGNC:827](/data/gene-symbol-report/#!/hgnc_id/HGNC:827)		
HGNC:37667	ATP5A1P9	symbol withdrawn, see [HGNC:37665](/data/gene-symbol-report/#!/hgnc_id/HGNC:37665)		
HGNC:826	ATP5AL2	symbol withdrawn, see [HGNC:823](/data/gene-symbol-report/#!/hgnc_id/HGNC:823)		
HGNC:832	ATP5BL2	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide-like 2		
HGNC:835	ATP5CL1	symbol withdrawn, see [HGNC:833](/data/gene-symbol-report/#!/hgnc_id/HGNC:833)		
HGNC:836	ATP5CL2	symbol withdrawn, see [HGNC:834](/data/gene-symbol-report/#!/hgnc_id/HGNC:834)		
HGNC:823	ATP5F1A	ATP synthase F1 subunit alpha	NM_004046	644|2053
HGNC:827	ATP5F1AP1	ATP synthase F1 subunit alpha pseudogene 1		
HGNC:828	ATP5F1AP2	ATP synthase F1 subunit alpha pseudogene 2	NG_008671	
HGNC:829	ATP5F1AP3	ATP synthase F1 subunit alpha pseudogene 3	NG_008672	
HGNC:23563	ATP5F1AP4	ATP synthase F1 subunit alpha pseudogene 4	NG_022842	
HGNC:37665	ATP5F1AP7	ATP synthase F1 subunit alpha pseudogene 7		
HGNC:37666	ATP5F1AP8	ATP synthase F1 subunit alpha pseudogene 8		
HGNC:37668	ATP5F1AP10	ATP synthase F1 subunit alpha pseudogene 10		
HGNC:830	ATP5F1B	ATP synthase F1 subunit beta	NM_001686	1835|2053|644
HGNC:831	ATP5F1BP1	ATP synthase F1 subunit beta pseudogene 1		
HGNC:833	ATP5F1C	ATP synthase F1 subunit gamma	NM_005174	644
HGNC:834	ATP5F1CP1	ATP synthase F1 subunit gamma pseudogene 1	NG_004656	
HGNC:837	ATP5F1D	ATP synthase F1 subunit delta	NM_001687	644
HGNC:838	ATP5F1E	ATP synthase F1 subunit epsilon	NM_001001977	644
HGNC:839	ATP5F1EP1	ATP synthase F1 subunit epsilon pseudogene 1		
HGNC:34026	ATP5F1EP2	ATP synthase F1 subunit epsilon pseudogene 2	NR_002162	
HGNC:871	ATP5IF1	ATP synthase inhibitory factor subunit 1	NM_016311	644
HGNC:841	ATP5MC1	ATP synthase membrane subunit c locus 1	NM_005175	644
HGNC:19815	ATP5MC1P1	ATP synthase membrane subunit c locus 1 pseudogene 1	NG_002514	
HGNC:19817	ATP5MC1P2	ATP synthase membrane subunit c locus 1 pseudogene 2	NG_002515	
HGNC:39506	ATP5MC1P3	ATP synthase membrane subunit c locus 1 pseudogene 3	NG_022220	
HGNC:39507	ATP5MC1P4	ATP synthase membrane subunit c locus 1 pseudogene 4		
HGNC:39508	ATP5MC1P5	ATP synthase membrane subunit c locus 1 pseudogene 5		
HGNC:39509	ATP5MC1P6	ATP synthase membrane subunit c locus 1 pseudogene 6		
HGNC:39510	ATP5MC1P7	ATP synthase membrane subunit c locus 1 pseudogene 7		
HGNC:39511	ATP5MC1P8	ATP synthase membrane subunit c locus 1 pseudogene 8		
HGNC:842	ATP5MC2	ATP synthase membrane subunit c locus 2	NM_005176	644
HGNC:844	ATP5MC2P1	ATP5MC2 pseudogene 1	NG_004659	
HGNC:19672	ATP5MC2P2	ATP5MC2 pseudogene 2	NG_002500	
HGNC:42187	ATP5MC2P3	ATP5MC2 pseudogene 3		
HGNC:42188	ATP5MC2P4	ATP5MC2 pseudogene 4		
HGNC:56523	ATP5MC2P5	ATP5MC2 pseudogene 5	NG_030292	
HGNC:843	ATP5MC3	ATP synthase membrane subunit c locus 3	NM_001689	644
HGNC:846	ATP5ME	ATP synthase membrane subunit e	NM_007100	644
HGNC:848	ATP5MF	ATP synthase membrane subunit f	NM_004889	644
HGNC:38844	ATP5MF-PTCD1	ATP5MF-PTCD1 readthrough	NM_001198879.1	
HGNC:849	ATP5MFP1	ATP synthase membrane subunit f pseudogene 1		
HGNC:21540	ATP5MFP2	ATP synthase membrane subunit f pseudogene 2		
HGNC:21286	ATP5MFP3	ATP synthase membrane subunit f pseudogene 3		
HGNC:32451	ATP5MFP4	ATP synthase membrane subunit f pseudogene 4		
HGNC:33611	ATP5MFP5	ATP synthase membrane subunit f pseudogene 5	NG_005477	
HGNC:33612	ATP5MFP6	ATP synthase membrane subunit f pseudogene 6	NG_005475	
HGNC:14247	ATP5MG	ATP synthase membrane subunit g	NM_006476	644
HGNC:13213	ATP5MGL	ATP synthase membrane subunit g like	NM_001165877	
HGNC:13214	ATP5MGP1	ATP synthase membrane subunit g pseudogene 1	NG_004834	
HGNC:13215	ATP5MGP2	ATP synthase membrane subunit g pseudogene 2	NG_005040	
HGNC:13216	ATP5MGP3	ATP synthase membrane subunit g pseudogene 3		
HGNC:38165	ATP5MGP4	ATP synthase membrane subunit g pseudogene 4		
HGNC:38167	ATP5MGP5	ATP synthase membrane subunit g pseudogene 5		
HGNC:38168	ATP5MGP6	ATP synthase membrane subunit g pseudogene 6	NG_022453	
HGNC:38169	ATP5MGP7	ATP synthase membrane subunit g pseudogene 7		
HGNC:38170	ATP5MGP8	ATP synthase membrane subunit g pseudogene 8		
HGNC:1188	ATP5MJ	ATP synthase membrane subunit j	NM_001127393	644
HGNC:30889	ATP5MK	ATP synthase membrane subunit k	NM_032747	1691|644
HGNC:31716	ATP5MKP1	ATP5MK pseudogene 1	NG_012722	
HGNC:840	ATP5PB	ATP synthase peripheral stalk-membrane subunit b	NM_001688	644
HGNC:39742	ATP5PBP1	ATP synthase peripheral stalk-membrane subunit b pseudogene 1		
HGNC:39743	ATP5PBP2	ATP synthase peripheral stalk-membrane subunit b pseudogene 2		
HGNC:39744	ATP5PBP3	ATP synthase peripheral stalk-membrane subunit b pseudogene 3		
HGNC:39745	ATP5PBP4	ATP synthase peripheral stalk-membrane subunit b pseudogene 4		
HGNC:39746	ATP5PBP5	ATP synthase peripheral stalk-membrane subunit b pseudogene 5		
HGNC:39747	ATP5PBP6	ATP synthase peripheral stalk-membrane subunit b pseudogene 6		
HGNC:39748	ATP5PBP7	ATP synthase peripheral stalk-membrane subunit b pseudogene 7		
HGNC:56483	ATP5PBP8	ATP5PB pseudogene 8	NG_022264	
HGNC:845	ATP5PD	ATP synthase peripheral stalk subunit d	NM_006356	644
HGNC:31021	ATP5PDP1	ATP synthase peripheral stalk subunit d pseudogene 1	NG_004675	
HGNC:49624	ATP5PDP2	ATP synthase peripheral stalk subunit d pseudogene 2	NG_001540	
HGNC:49625	ATP5PDP3	ATP synthase peripheral stalk subunit d pseudogene 3	NG_023175	
HGNC:49626	ATP5PDP4	ATP synthase peripheral stalk subunit d pseudogene 4	NG_001585	
HGNC:847	ATP5PF	ATP synthase peripheral stalk subunit F6	NM_001685	644
HGNC:23933	ATP5PFP1	ATP synthase peripheral stalk subunit F6 pseudogene 1	NG_002918	
HGNC:850	ATP5PO	ATP synthase peripheral stalk subunit OSCP	NM_001697	644
HGNC:54673	ATP5POP1	ATP5PO pseudogene 1	NG_021549	
HGNC:868	ATP6AP1	ATPase H+ transporting accessory protein 1	NM_001183	
HGNC:25138	ATP6AP1-DT	ATP6AP1 divergent transcript	NR_103768	1990
HGNC:28091	ATP6AP1L	ATPase H+ transporting accessory protein 1 like (pseudogene)		
HGNC:18305	ATP6AP2	ATPase H+ transporting accessory protein 2	NM_005765	
HGNC:867	ATP6N2	symbol withdrawn, see [HGNC:866](/data/gene-symbol-report/#!/hgnc_id/HGNC:866)		
HGNC:851	ATP6V1A	ATPase H+ transporting V1 subunit A	NM_001690	415|2053
HGNC:852	ATP6V1A2	ATPase, H+ transporting, lysosomal 70kD, V1 subunit A, isoform 2		
HGNC:853	ATP6V1B1	ATPase H+ transporting V1 subunit B1	NM_001692	2053|415
HGNC:51118	ATP6V1B1-AS1	ATP6V1B1 antisense RNA 1		1987
HGNC:854	ATP6V1B2	ATPase H+ transporting V1 subunit B2	NM_001693	415|2053
HGNC:856	ATP6V1C1	ATPase H+ transporting V1 subunit C1	NM_001695	415
HGNC:18264	ATP6V1C2	ATPase H+ transporting V1 subunit C2	NM_144583	415
HGNC:13527	ATP6V1D	ATPase H+ transporting V1 subunit D	NM_015994	415
HGNC:857	ATP6V1E1	ATPase H+ transporting V1 subunit E1	NM_001696	415
HGNC:859	ATP6V1E1P1	ATPase H+ transporting V1 subunit E1 pseudogene 1		
HGNC:860	ATP6V1E1P2	ATPase H+ transporting V1 subunit E1 pseudogene 2		
HGNC:858	ATP6V1E1P3	ATPase H+ transporting V1 subunit E1 pseudogene 3	NG_009357	
HGNC:18125	ATP6V1E2	ATPase H+ transporting V1 subunit E2	NM_080653	415
HGNC:16832	ATP6V1F	ATPase H+ transporting V1 subunit F	NM_004231	415
HGNC:52392	ATP6V1FNB	ATP6V1F neighbor	NM_001195150	
HGNC:864	ATP6V1G1	ATPase H+ transporting V1 subunit G1	NM_004888	415
HGNC:19816	ATP6V1G1P1	ATPase H+ transporting V1 subunit G1 pseudogene 1	NG_001019	
HGNC:29359	ATP6V1G1P2	ATPase H+ transporting V1 subunit G1 pseudogene 2	NG_022387	
HGNC:37670	ATP6V1G1P3	ATPase H+ transporting V1 subunit G1 pseudogene 3	NG_021680	
HGNC:37671	ATP6V1G1P4	ATPase H+ transporting V1 subunit G1 pseudogene 4	NG_022168	
HGNC:37672	ATP6V1G1P5	ATPase H+ transporting V1 subunit G1 pseudogene 5	NG_021901	
HGNC:37673	ATP6V1G1P6	ATPase H+ transporting V1 subunit G1 pseudogene 6		
HGNC:39852	ATP6V1G1P7	ATPase H+ transporting V1 subunit G1 pseudogene 7		
HGNC:862	ATP6V1G2	ATPase H+ transporting V1 subunit G2	NM_130463	415
HGNC:41999	ATP6V1G2-DDX39B	ATP6V1G2-DDX39B readthrough (NMD candidate)	NR_037853.1	
HGNC:18265	ATP6V1G3	ATPase H+ transporting V1 subunit G3	NM_133326	415
HGNC:18303	ATP6V1H	ATPase H+ transporting V1 subunit H	NM_015941	415|1492
HGNC:865	ATP6V0A1	ATPase H+ transporting V0 subunit a1	NM_001130020	415|1691
HGNC:18481	ATP6V0A2	ATPase H+ transporting V0 subunit a2	NM_012463	415
HGNC:866	ATP6V0A4	ATPase H+ transporting V0 subunit a4	NM_020632	415
HGNC:861	ATP6V0B	ATPase H+ transporting V0 subunit b	NM_004047	415
HGNC:855	ATP6V0C	ATPase H+ transporting V0 subunit c	NM_001694	415
HGNC:31323	ATP6V0CP1	ATPase H+ transporting V0 subunit c pseudogene 1	NG_009542	
HGNC:40000	ATP6V0CP2	ATPase H+ transporting V0 subunit c pseudogene 2		
HGNC:40001	ATP6V0CP3	ATPase H+ transporting V0 subunit c pseudogene 3		
HGNC:40002	ATP6V0CP4	ATPase H+ transporting V0 subunit c pseudogene 4		
HGNC:13724	ATP6V0D1	ATPase H+ transporting V0 subunit d1	NM_004691	415
HGNC:55268	ATP6V0D1-DT	ATP6V0D1 divergent transcript		1990
HGNC:18266	ATP6V0D2	ATPase H+ transporting V0 subunit d2	NM_152565	415
HGNC:863	ATP6V0E1	ATPase H+ transporting V0 subunit e1	NM_003945	415|1835
HGNC:41935	ATP6V0E1P1	ATPase H+ transporting V0 subunit e1 pseudogene 1		
HGNC:41936	ATP6V0E1P2	ATPase H+ transporting V0 subunit e1 pseudogene 2		
HGNC:41937	ATP6V0E1P3	ATPase H+ transporting V0 subunit e1 pseudogene 3		
HGNC:41938	ATP6V0E1P4	ATPase H+ transporting V0 subunit e1 pseudogene 4		
HGNC:21723	ATP6V0E2	ATPase H+ transporting V0 subunit e2	NM_145230	415
HGNC:44180	ATP6V0E2-AS1	ATP6V0E2 antisense RNA 1	NR_027040	1987
HGNC:869	ATP7A	ATPase copper transporting alpha	NM_000052	1212
HGNC:870	ATP7B	ATPase copper transporting beta	NM_000053	1212
HGNC:31014	ATP7BP1	ATPase copper transporting beta pseudogene 1	NG_022482	
HGNC:13531	ATP8A1	ATPase phospholipid transporting 8A1	NM_006095	1210
HGNC:55392	ATP8A1-DT	ATP8A1 divergent transcript		1990
HGNC:13533	ATP8A2	ATPase phospholipid transporting 8A2	NM_016529	1210
HGNC:39662	ATP8A2P1	ATPase phospholipid transporting 8A2 pseudogene 1	NG_025483	
HGNC:39663	ATP8A2P2	ATPase phospholipid transporting 8A2 pseudogene 2	NG_028886	
HGNC:42641	ATP8A2P3	ATPase phospholipid transporting 8A2 pseudogene 3		
HGNC:3706	ATP8B1	ATPase phospholipid transporting 8B1	NM_005603	1210
HGNC:56042	ATP8B1-AS1	ATP8B1 antisense RNA 1	NR_164148	1987
HGNC:13534	ATP8B2	ATPase phospholipid transporting 8B2	NM_020452	1210
HGNC:13535	ATP8B3	ATPase phospholipid transporting 8B3	NM_138813	1210
HGNC:13536	ATP8B4	ATPase phospholipid transporting 8B4 (putative)	NM_024837	1210
HGNC:27245	ATP8B5P	ATPase phospholipid transporting 8B5, pseudogene	NR_003581.1	1210
HGNC:13540	ATP9A	ATPase phospholipid transporting 9A (putative)	NM_006045	1210
HGNC:13541	ATP9B	ATPase phospholipid transporting 9B (putative)	NM_198531	1210
HGNC:13542	ATP10A	ATPase phospholipid transporting 10A (putative)	NM_024490	1210|1691
HGNC:55434	ATP10A-DT	ATP10A divergent transcript		1990
HGNC:13543	ATP10B	ATPase phospholipid transporting 10B (putative)	NM_025153	1210
HGNC:13547	ATP10C	symbol withdrawn, see [HGNC:13542](/data/gene-symbol-report/#!/hgnc_id/HGNC:13542)		
HGNC:13549	ATP10D	ATPase phospholipid transporting 10D (putative)	NM_020453	1210
HGNC:13552	ATP11A	ATPase phospholipid transporting 11A	NM_015205	1210
HGNC:40645	ATP11A-AS1	ATP11A antisense RNA 1		1987
HGNC:33793	ATP11AUN	ATP11A upstream neighbor lncRNA	NR_164109	1992
HGNC:13553	ATP11B	ATPase phospholipid transporting 11B (putative)	NM_014616	1210
HGNC:55642	ATP11B-DT	ATP11B divergent transcript		1990
HGNC:13554	ATP11C	ATPase phospholipid transporting 11C	NM_173694	1210|1691
HGNC:13816	ATP12A	ATPase H+/K+ transporting non-gastric alpha2 subunit	NM_001676	1211
HGNC:24215	ATP13A1	ATPase 13A1	NM_020410	1213
HGNC:30213	ATP13A2	ATPase cation transporting 13A2	NM_022089	1213
HGNC:24113	ATP13A3	ATPase 13A3	NM_024524	1213
HGNC:48570	ATP13A3-DT	ATP13A3 divergent transcript	NR_033929	1990
HGNC:25422	ATP13A4	ATPase 13A4	NM_032279	1213
HGNC:41095	ATP13A4-AS1	ATP13A4 antisense RNA 1		1987
HGNC:31789	ATP13A5	ATPase 13A5	NM_198505	1213
HGNC:41281	ATP13A5-AS1	ATP13A5 antisense RNA 1		1987
HGNC:29452	ATP23	ATP23 metallopeptidase and ATP synthase assembly factor homolog	NM_033276	2108
HGNC:18803	ATPAF1	ATP synthase mitochondrial F1 complex assembly factor 1	NM_022745	645
HGNC:18802	ATPAF2	ATP synthase mitochondrial F1 complex assembly factor 2	NM_145691	645
HGNC:872	ATPL	symbol withdrawn, see [HGNC:855](/data/gene-symbol-report/#!/hgnc_id/HGNC:855)		
